personnel.endposition_place,Place
personnel.nominate,Personnel.Nominate
personnel.nominate_agent,Nominator
personnel.nominate_person,Nominee
personnel.nominate_place,Place
personnel.startposition,Personnel.StartPosition
personnel.startposition_entity,Organization
personnel.startposition_person,Person
personnel.startposition_place,Place
transaction.transaction,Transaction.Transaction
transaction.transaction_beneficiary,Beneficiary
transaction.transaction_giver,Giver
transaction.transaction_place,Place
transaction.transaction_recipient,Recipient
transaction.transfermoney,Transaction.TransferMoney
transaction.transfermoney_beneficiary,Beneficiary
transaction.transfermoney_giver,Giver
transaction.transfermoney_place,Place
transaction.transfermoney_recipient,Recipient
transaction.transferownership,Transaction.TransferOwnership
transaction.transferownership_beneficiary,Beneficiary
transaction.transferownership_giver,Giver
transaction.transferownership_place,Place
transaction.transferownership_recipient,Recipient
transaction.transferownership_thing,Thing
vehicle,VEH
weapon,WEA
